Kept_idx,Orig_idx,Row,Col,Score
100,114,3,18,0.89173913
82,82,2,18,0.8904847
50,50,1,18,0.886032
136,178,5,18,0.88027334
118,146,4,18,0.8799199
18,18,0,18,0.86583287
168,210,6,18,0.8635215
172,214,6,22,0.8605099
140,182,5,22,0.853145
204,246,7,22,0.81918156
122,150,4,22,0.819124
227,269,8,13,0.800479
121,149,4,21,0.796725
253,309,9,21,0.7906618
256,312,9,24,0.78660613
257,313,9,25,0.78505105
14,14,0,14,0.7823008
235,277,8,21,0.78132147
124,152,4,24,0.77979064
476,560,17,16,0.7793165
351,407,12,23,0.77810067
195,237,7,13,0.7751639
350,406,12,22,0.7732955
139,181,5,21,0.7731886
203,245,7,21,0.7696898
163,205,6,13,0.7693498
106,120,3,24,0.76794493
318,374,11,22,0.76692504
321,377,11,25,0.7635743
171,213,6,21,0.75912935
104,118,3,22,0.7579719
19,19,0,19,0.7503389
103,117,3,21,0.74768215
320,376,11,24,0.7468751
228,270,8,14,0.7427602
244,286,8,30,0.7392871
240,282,8,26,0.7392694
383,467,14,19,0.738045
319,375,11,23,0.7372014
360,430,13,14,0.73460954
254,310,9,22,0.73394704
288,344,10,24,0.73231435
46,46,1,14,0.7321525
349,405,12,21,0.73199886
236,278,8,22,0.7298962
246,302,9,14,0.7269823
86,86,2,22,0.7268998
242,284,8,28,0.7246014
200,242,7,18,0.7239467
114,142,4,14,0.72267234
286,342,10,22,0.72238666
51,51,1,19,0.72232205
285,341,10,21,0.71984863
289,345,10,25,0.71779007
352,408,12,24,0.7164739
342,398,12,14,0.7141125
367,437,13,21,0.7118351
54,54,1,22,0.69613206
138,180,5,20,0.6937536
88,88,2,24,0.68969375
378,462,14,14,0.68327045
365,435,13,19,0.67889863
125,153,4,25,0.6777151
83,83,2,19,0.676249
132,174,5,14,0.67548215
96,110,3,14,0.67354417
369,439,13,23,0.6728689
241,283,8,27,0.67158645
56,56,1,24,0.6694638
22,22,0,22,0.6676002
137,179,5,19,0.66678345
278,334,10,14,0.66635823
415,499,15,19,0.66579074
21,21,0,21,0.665365
366,436,13,20,0.66513896
287,343,10,23,0.66410506
245,287,8,31,0.66274756
78,78,2,14,0.66274464
239,281,8,25,0.65929675
310,366,11,14,0.65647
101,115,3,19,0.6556656
258,314,9,26,0.65420425
353,409,12,25,0.65415657
142,184,5,24,0.65222675
445,529,16,17,0.65047127
232,274,8,18,0.64820725
280,336,10,16,0.6452751
119,147,4,19,0.6440509
120,148,4,20,0.6404478
169,211,6,19,0.63911843
537,954,29,26,0.6377228
143,185,5,25,0.6365966
255,311,9,23,0.6350981
290,346,10,26,0.634803
385,469,14,21,0.63444716
311,367,11,15,0.633968
107,121,3,25,0.6338976
368,438,13,22,0.6335675
206,248,7,24,0.633504
533,922,28,26,0.6323101
477,561,17,17,0.63181496
312,368,11,16,0.63104457
536,953,29,25,0.6294389
238,280,8,24,0.62921596
127,155,4,27,0.6280933
497,634,19,26,0.6277363
85,85,2,21,0.6275314
322,378,11,26,0.6264066
294,350,10,30,0.62607104
250,306,9,18,0.6164912
108,122,3,26,0.6155842
243,285,8,29,0.6152961
105,119,3,23,0.6152289
